0xCB | 0x0 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x1 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x2 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x3 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x4 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x5 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x6 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x7 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x8 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x9 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xA -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xB -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xC -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xD -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xE -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xF -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x10 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x11 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x12 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x13 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x14 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x15 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x16 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x17 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x18 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x19 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x1A -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x1B -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x1C -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x1D -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x1E -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x1F -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x20 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x21 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x22 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x23 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x24 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x25 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x26 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x27 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x28 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x29 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x2A -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x2B -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x2C -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x2D -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x2E -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x2F -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x30 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x31 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x32 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x33 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x34 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x35 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x36 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x37 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x38 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x39 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x3A -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x3B -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x3C -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x3D -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x3E -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x3F -> "Prefixed Opcodes should have already been handled 😕 0xCB"
